,Reviews,Remarks
0,लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त,negative
1,गुमनाम है वतन पर मिटने वाले लोग आतन्कवादियों से मिलकर मशहूर हो गये,negative
2,ज़ंजीर बदली जा रही थी मैं समझा था रिहाई हो गयी है,negative
3,यूपी में बड़े स्तर पर दंगे करवा सकती है बीजेपी: मुलायम सिंह यादव - Navbharat Times,negative
4,अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ । निजी राय बुरा लगे तो भाड़ मे जा |,negative
5,कश्मीर में हो रहा है जल जिहाद ।,negative
6,परमपिता परमेश्वर अगर हिंदुस्तान मेँ दंगा होता हे ओर मनुष्य मरते हे हिंदुस्तान पुलिस झुकना माना जाएगा हिंदुस्तान पुलिस झुकना नहीँ चाहिए भारत,negative
7,संघर्ष में आदमी अकेला होता है सफलता में दुनिया उसके साथ होती है जब जब जग उस पर हसा है तब तब उसी ने नया इतिहास रचा है।,negative
8,मोहब्बत अंधी होती है,negative
9,तीखी बात में राम जेठमलानी ने गड्गरी पर तो इल्जाम लगा दिए जब की किसी सरकरी संस्था ने अभी इल्जाम नही लगया इतनी जिंदगी देखने पर आदमी का अहम्,negative
10,एक मुलाकात जरूरी है रिहा होने के लिये ।एक उम्र से कैद हूँ आँसू की तरह ।।,negative
11,माओवादियों की संपत्ति होगी कुर्क,negative
12,अगर मुलायम और अखिलेश चाहें तो UP में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं।#IndvsEng,negative
13,जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये,negative
14,काटजू को 1993 में मारे गए लोगों से कोई सहानुभूति नहीं है और उसका मूंह केवल और केवल कांग्रेस तथा इसके द्वारा समर्थित लोगो के लिए ही खुलता है।,negative
15,कुछ ऐसे भी हादसे होते है जिंदगी मेंइंसान बच तो जाता है परज़िंदा नहीं रहता शुभ रात्रि मित्रों 😁,negative
16,#News तीन साल बाथरूम में बंद रही विवाहिता Follow,negative
17,तीन साल बाथरूम में बंद रही विवाहिता: दहेज प्रताड़ना शिकार बिहार के दरभंगा जिला निवासी गुंजा तीन साल बाद रविवार,negative
18,क़सम से युपीए 3 आई तो मै भी कांग्रेसी बन जांऊगा साला कब तक ईमानदार बन अपना ही घर जलाऊँगा?,negative
19,पवन और अश्विनी का इस्तीफा होना ही नहीं था आज चोर ग्रुप में डिसिशन इसलिए हुआ की कर्णाटक का चुनाव था जिससे क्रेडिबिलिटी वोट पर असर ना पड़े,negative
20,बुला कर तुमने महफ़िल में हमको गैरों से उठवाया हमीं खुद उठ गए होते इशारा कर दिया होता NaushadLakhnavi,negative
21,#BJP की संवैधानिक तिकड़म-संविधान की धारा का गलत हवाला देकर सीक्रेट बैलट (जो होता ही नहीं) से दिल्ली में सरकार बनाने की अलोकतांत्रिक साजिश।,negative
22,मुझे ये बयान पर कोई शिकायत नहीं है. हम को शिकायत है तो केंद्र सरकार के गृह मंत्रालय से है सुप्रीम कोर्ट से है.,negative
23,जम्मू-कश्मीर: भूस्खलन होने की वजह से 7 लोगो की मौत हो गई जबकि 20 लोग अब भी लापता है।,negative
24,माओवादियों की संपत्ति होगी कुर्क,negative
25,अब सभी ताकतें एक दुसरे से जुदा हैं और आपस में बर्चस्व की लड़ाई लड़ रहे हैं।,negative
26,जो जम्मू कश्मीर में हो रहा है उसे जल जिहाद कहते हैं।।,negative
27,खुदा को भूल उन्हीं के आगे दामन फैलायाजिनके मरने की दुआएं मांगी थी खुदा से,negative
28,सारे धर्मोन्मादी हिटलरपंथी जो आरएसएसिए आईएस-अलकायदा को लेकर भारत में धर्मोन्माद फैला रहे दरअसल वे आईएस जैसा ही पाप करते जा रहे,negative
29,हुर्रियत जेहादी यासिन मलिक और आजाद कश्मीर चिलाने वाले कश्मीर को बचाने आगे नहीं आएंगे #JammuKashmirFloods. #KashmirFloods,negative
30,मन्नूजी पिछले 10 सालो में संविधान की पूजा ही उतारते रहे है? कांग्रेसी लोग कितने बेशर्म है।,negative
31,नशे में चूर बाबा घर लौटते हुए।शुभरात्रि।,negative
32,इसी का तो खौफ है। पहले इन्होंने Iraq और Syria मे लोगों को शिया-सुन्नी-कुर्द-अलावाई-अरबी-फार्सी और कबीलाओं में बाँटा।,negative
33,you are getting wrong. अन्ना के समय लोगों में जबरदस्त गुस्सा था now they have corrupt but popular govt.,negative
34,निठारी हत्या कांड : सुरेंदर कोहली की फाँसी का समय निकट आते ही मेरठ जेल में जल्लाद की खोज शुरू हो गयी है।,negative
35,सखी सइयाँ तो खूब कामात है मेहंगाई डायन्न खाई जात है.,negative
36,केजरीवालजी को आज कल ये चिन्ता खाए जा रही है की अगर CM न बने तो जो मानहानि केे मुकदमो मे करोड़ो कीpenaltyभरनी है वो कहा से लाऐंगे #JaiHoNeta,negative
37,दिल बहुत ही हरामी कामिनी चीज़ होती है अच्छे खासे हस्ते खेलते आदमी को सेंटियापा काएडमिन बना देती है #SadStoriesOfTwitter,negative
38,दुनिया में यह बहुत बड़ी समस्या है कि मूर्ख और कट्टरपंथी अपने आप को बहुत बड़ा समझते हैं जबकि समझदार लोग हमेशा अपनी काबलियत पर संदेह करते हैं।,negative
39,तो फिर फेंक अाई डी क्यों बनाई है गर्व के साथ अापना नाम लेने में शर्म कैसी क्या सिर्फ गालियां देने के लिये,negative
40,जनार्दन द्विवेदी ने की टीम राहुल की बोलती बंद via,negative
41,परमपिता परमेश्वर जो मनुष्य के आत्महत्या करता हे उसका जन्म मनुष्य कभी नहीँ बनता परमपिता परमेश्वर के खिलाफ नहीँ जाना चाहिए परम पिता परमेश्वर,negative
42,C C शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं।,negative
43,संपत्ति वाला माओवादी पहली बार सुने माओवादियों की संपत्ति होगी कुर्क,negative
44,भारत-पाक में भी दस्तक दे रहा है इस्लामिक स्टेट कश्मीर में दिखे झंडे और बैनर: भारत और पाकिस्तान के कुछ हिस्सों,negative
45,#BreakingNews J&K: भूस्खलन में 7 की मौत 20 लापता,negative
46,भारत-पाक में भी दस्तक दे रहा है इस्लामिक स्टेट कश्मीर में दिखे झंडे और बैनर: भारत और पाकिस्तान के कुछ हिस्सों,negative
47,जब मैं इस संसार में बुराई खोजने चला तो मुझे कोई बुरा न मिला. जब मैंने अपने मन में झाँक कर देखा तो पाया कि मुझसे बुरा कोई नहीं है .,negative
48,अब ये मत कहियो के दुसरे वाले का भी क़त्ल करना है वेसे सोंग है कत्ल करे तेरा बोम्ब फिगर यो यो लोल्ज़,negative
49,बिरला हो या टाटा सबने अपने चक्कर में इस देश को है काटा सही बात,negative
50,जब शहर हमारा सोता है तो मालूम तुमको हाँ क्या क्या होता है इधर जागती है लाशे जिंदा हो मुर्दा उधर ज़िन्दगी खोता है,negative
51,दिल फाड़कर रोया वो बंदा मैंने तो बस ये पूछा था भाभी ख्याल रखती हैं?,negative
52,आदरनिये श्री 10001 KK सेंटियापा के एडमिन का जव से दिल टूटा है हमेशा सेंटी ठेलते है पर कोई ये बात नही मानेगा बहुत दुःख की बात है,negative
53,और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई।,negative
54,OMG😳 ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा,negative
55,साई भक्त की आपबीती भाईयों मैंने साई ( चाँद मियां ) को पूजना छोड दिया है क्यों यह लेख पढें :साई उर्फ ( चाँद मियां,negative
56,ना नींद आ रही हैना कलम चल रही है लगता है आजअहसासों में कुछ कमी सी है,negative
57,अगर केजरीवाल और उसके गुर्गों में जरा भी शर्म बाकी है तो कोर्ट के बाहर समझौता करने की जगह गडकरी के खिलाफ वो सबूत कोर्ट में पेश करे,negative
58,कुछ नही बदला उसके जाने के बाद इस जिंदगी में ऐ दोस्तों बस कल जिस जगह दिल हुआ करता था आज वहा दर्द होता है.,negative
59,J&K: भूस्खलन में 7 की मौत 20 लापता: जम्मू-कश्मीर के उधमपुर जिले के एक सुदूर पर्वतीय गांव में भारी बारिश के बा,negative
60,अपनी पहली फांसी की तैयारी में जल्लाद: निठारी हत्या कांड के दोषी सुरेंद्र कोली को फांसी देने का समय निकट आने के,negative
61,देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्रकिर्तिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे,negative
62,भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है,negative
63,#ModiMinistry J&K: भूस्खलन में 7 की मौत 20 लापता,negative
64,#ModiMinistry अपनी पहली फांसी की तैयारी में जल्लाद,negative
